City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,al ghayzah,16.2079,52.176,22.7,67,40,1.96,YE,1707258560
294,patacamaya,-17.2333,-67.9167,11.82,60,92,5.16,BO,1707258560
295,gobabis,-22.45,18.9667,24.22,53,60,5.11,NA,1707258287
296,ouarzazat,30.9189,-6.8934,10.16,25,0,1.03,MA,1707258560
297,nelson bay,-32.7167,152.15,20.62,92,100,3.13,AU,1707258560
298,arteche,12.2645,125.4048,24.49,86,30,3.42,PH,1707258311
299,la passe,45.5549,-0.8967,10.55,93,91,4.99,FR,1707258388
300,broken hill,-31.95,141.4333,17.26,42,70,7.7,AU,1707258561
301,quellon,-43.1167,-73.6167,16.82,83,84,6.8,CL,1707258561
302,piti village,13.4626,144.6933,27.03,80,20,3.09,GU,1707258561
303,sabha,27.0377,14.4283,12.04,43,1,1.59,LY,1707258561
304,chopda,21.25,75.3,22.4,48,3,2.12,IN,1707258561
305,dolores,-36.3132,-57.6792,21.8,89,82,5.6,AR,1707258562
306,carauari,-4.8828,-66.8958,26.01,93,100,0.88,BR,1707258562
307,kargopol',61.5071,38.9456,-29.54,100,96,0.67,RU,1707258562
308,gaurnadi,22.9667,90.2333,19.6,78,0,2.79,BD,1707258562
309,pacocha,-17.5833,-71.3333,25.04,80,20,2.77,PE,1707258562
310,laguna,38.421,-121.4238,14.99,71,100,5.14,US,1707258280
311,lakatoro,-16.0999,167.4164,29.2,71,89,0.51,VU,1707258563
312,acarau,-2.8856,-40.12,27.75,80,78,7.7,BR,1707258198
313,st. john's,47.5649,-52.7093,0.44,96,100,14.31,CA,1707258199
314,isla mujeres,21.2311,-86.731,19.03,69,44,9.02,MX,1707258563
315,howrah,22.5892,88.3103,21.0,94,75,2.57,IN,1707258288
316,bahawalnagar,30.5508,73.3908,8.45,49,7,2.44,PK,1707258564
317,tuy hoa,13.0833,109.3,22.65,94,58,0.86,VN,1707258564
318,corumba,-19.0092,-57.6533,28.84,84,75,0.0,BR,1707258564
319,ofunato,39.0717,141.7167,-0.27,67,100,1.77,JP,1707258564
320,taoudenni,22.6783,-3.9836,19.71,12,1,5.47,ML,1707258306
321,ad dabbah,18.05,30.95,15.02,26,95,5.67,SD,1707258565
322,fale old settlement,-9.3852,-171.2468,28.81,79,100,11.42,TK,1707258289
323,as sulayyil,20.4607,45.5779,19.14,49,83,5.29,SA,1707258565
324,bayji,34.9311,43.487,12.01,61,20,2.49,IQ,1707258565
325,tocopilla,-22.092,-70.1979,24.75,72,3,1.75,CL,1707258565
326,talara,-4.5772,-81.2719,30.42,66,0,6.69,PE,1707258565
327,buedu,8.2803,-10.3719,24.07,27,1,0.4,SL,1707258566
328,morehead city,34.7229,-76.726,9.02,67,0,10.8,US,1707258439
329,batticaloa,7.7102,81.6924,26.34,65,93,3.78,LK,1707258566
330,polyarnyy,69.1989,33.4478,-16.47,96,95,4.76,RU,1707258285
331,marsa alam,25.0757,34.8918,17.71,61,0,5.81,EG,1707258566
332,oamaru,-45.0784,170.9801,15.77,86,84,6.41,NZ,1707258566
333,san antonio de pale,-1.4014,5.6325,28.15,76,56,0.98,GQ,1707258300
334,tangalle,6.024,80.7911,22.3,87,44,5.06,LK,1707258384
335,shizuishan,39.2333,106.7694,-7.76,67,15,0.97,CN,1707258567
336,osceola,28.042,-81.1242,18.99,55,32,7.65,US,1707258567
337,al bayda',32.7627,21.7551,9.17,90,0,5.14,LY,1707258567
338,shahrud,36.4182,54.9763,2.44,50,0,1.97,IR,1707258567
339,karpinsk,59.7654,60.0085,-13.55,95,100,3.42,RU,1707258567
340,teguise,29.0605,-13.564,16.12,52,0,4.12,ES,1707258567
341,champerico,14.3,-91.9167,32.3,63,5,4.72,GT,1707258395
342,palu,-0.8917,119.8707,23.93,89,100,1.04,ID,1707258568
343,dryden,49.7833,-92.7503,1.16,93,100,1.03,CA,1707258568
344,cill airne,52.05,-9.5167,6.06,90,100,1.87,IE,1707258568
345,kitimat,54.0524,-128.6534,1.49,80,100,0.45,CA,1707258568
346,jonuta,18.0833,-92.1333,23.21,66,76,2.97,MX,1707258568
347,zouerate,22.7187,-12.4521,19.44,9,12,3.93,MR,1707258569
348,frontera,26.9333,-101.45,25.86,29,0,4.12,MX,1707258569
349,mont belvieu,29.8477,-94.8908,22.83,41,0,1.21,US,1707258569
350,saint-philippe,-21.3585,55.7679,22.77,84,68,5.89,RE,1707258324
351,puerto san jose,13.9256,-90.8244,29.48,50,0,6.07,GT,1707258569
352,magadan,59.5667,150.8,-22.26,80,99,3.34,RU,1707258338
353,bambous,-20.2567,57.4061,26.19,92,61,4.44,MU,1707258569
354,port augusta,-32.5,137.7667,19.6,40,0,4.58,AU,1707258271
355,protaras,35.0125,34.0583,14.44,81,0,1.34,CY,1707258570
356,andergrove,-21.0833,149.1833,30.36,75,22,5.29,AU,1707258570
357,krasnoufimsk,56.6059,57.7669,-0.21,89,100,5.9,RU,1707258570
358,inarajan village,13.2736,144.7484,27.08,86,100,6.65,GU,1707258570
359,bodaybo,57.8506,114.1933,-13.9,97,100,1.43,RU,1707258571
360,bamboo flat,11.7,92.7167,23.99,74,98,4.19,IN,1707258396
